Date,Max,Min,Avg,day_of_the_year,sol_dec,latitude,longitude,altitude,net_rad,net_in_sol_rad,net_out_lw_rad,sol_rad,daylight_hours,sunshine hours,et_rad,sunset_hour_angle,ird,cs_rad,avp,latitud(rad)
15/6/2022,32,24,28.0,166,0.40682235358018926,,,,19.335439958000247,19.335779717439603,0.00033975943935754906,25.111402230441044,11.925960157742047,12.2372,32.90929883193239,1.5611045341069578,0.9683222212412285,24.686581425785764,2.9848945293846705,
16/6/2022,30,23,26.5,167,0.4074876112368775,,,,19.32678389283137,19.327071779075258,0.00028788624388846986,25.100093219578255,11.925824572816946,12.2375,32.89368436137901,1.5610867860817648,0.968167732202189,24.67486838684485,2.8103575430330863,
17/6/2022,31,25,28.0,168,0.40803212152005325,,,,19.319007904734114,19.3193071828409,0.00029927810678888464,25.090009328364808,11.925713539213007,12.2375,32.880263583177,1.5610722518169964,0.9680226757510946,24.664800924284393,3.1688149728170982,
18/6/2022,31,26,28.5,169,0.4084557230795683,,,,19.312521736415896,19.31281013698361,0.0002884005677153306,25.08157160647222,11.925627124500448,12.2375,32.86904587134641,1.5610609401575741,0.9678870948713023,24.656386069931795,3.362540496522866,
19/6/2022,31,25,28.0,170,0.4087582903931383,,,,19.307285689803585,19.307584971265424,0.0002992814618370739,25.074785676968084,11.925565381367171,12.2375,32.860038615501374,1.5610528580003278,0.967761029738353,24.6496293670322,3.1688149728170982,
20/6/2022,28,25,26.5,171,0.4089397338035385,,,,19.3037240934403,19.30395304019792,0.0002289467576205146,25.070068883373924,11.925528347512069,12.2378,32.85324721679295,1.5610480102800308,0.9676445177080661,24.644534867205067,3.1688149728170982,
21/6/2022,29,26,27.5,172,0.4089999995451704,,,,19.301036695781075,19.301279928928,0.00024323314692517294,25.066597310296103,11.925516045568552,12.2378,32.848675085403976,1.5610463999593902,0.9675375933054708,24.641105128564938,3.362540496522866,
22/6/2022,30,26,28.0,173,0.4089390697599941,,,,19.299620035699007,19.299884728348086,0.00026469264907995154,25.064785361491023,11.925528483058569,12.2378,32.84632363959009,1.5610480280230263,0.9674402882145753,24.639341215002112,3.362540496522866,
23/6/2022,30,24,27.0,174,0.40875696250282,,,,19.299486055967208,19.299767113202773,0.0002810572355633173,25.064632614549055,11.925565652377303,12.2378,32.846192306262125,1.561052893475471,0.967352631268978,24.639242696619473,2.9848945293846705,
24/6/2022,31,25,28.0,175,0.40845373173595856,,,,19.30030817882606,19.300607458880506,0.00029928005444704536,25.065723972572084,11.925627530808644,12.2375,32.84827852310547,1.5610609933431925,0.9672746484433234,24.640807651322337,3.1688149728170982,
25/6/2022,29,24,26.5,176,0.40802946731323025,,,,19.302783586208392,19.303039349815542,0.0002557636071487968,25.068882272487716,11.925714080571327,12.2375,32.852577742233045,1.561072322680635,0.9672063628456061,24.644032667558697,2.9848945293846705,
26/6/2022,32,26,29.0,177,0.4074842949533399,,,,19.306426340256316,19.306740861434154,0.00031452117783788743,25.073689430433966,11.9258252488956,12.2375,32.85908343536893,1.5610868745802535,0.9671477947103223,24.64891284820765,3.362540496522866,
27/6/2022,33,26,29.5,178,0.4068183762026235,,,,19.311045514309637,19.31138871677815,0.00034320246851216095,25.07972560620539,11.925960968130038,12.2372,32.86778710056098,1.5611046401864979,0.9670989613924745,24.655441815614815,3.362540496522866,
28/6/2022,32,26,29.0,179,0.4060319083871786,,,,19.316980420211703,19.317294920432992,0.00031450022128894545,25.087396000562325,11.926121155878146,12.2369,32.87867827042067,1.5611256087136915,0.9670598773624287,24.663611717773364,3.362540496522866,
29/6/2022,32,26,29.0,180,0.4051251245543924,,,,19.324243847110836,19.324558338302317,0.000314491191482951,25.09682901078223,11.926305715164112,12.2367,32.89174452188992,1.5611497674677308,0.9670305542016264,24.673413235650504,3.362540496522866,
30/6/2022,30,24,27.0,181,0.4040982934038844,,,,19.332677200341593,19.332958208388256,0.0002810080466620927,25.10773793297176,11.926514534627103,12.2364,32.90697148753476,1.5611771018715166,0.9670110005991531,24.684835591659326,2.9848945293846705,
1/7/2022,32,27,29.5,182,0.4029517192078854,,,,19.34229147254819,19.34259109177855,0.00029961923036057165,25.120248171140975,11.92674748874327,12.2361,32.92434286836656,1.5612075954940157,0.9670012223491632,24.69786655927649,3.566507608743331,
2/7/2022,32,26,29.0,183,0.4016857417210748,,,,19.353131836932857,19.353446290629,0.00031445369614530424,25.134345831985716,11.927004438074603,12.2358,32.94384044819198,1.5612412300828347,0.9670012223491632,24.71249247380673,3.362540496522866,
3/7/2022,32,26,29.0,184,0.4003007360799039,,,,19.365303963395103,19.365618405773603,0.0003144423784987683,25.15015377373195,11.92728522954359,12.2356,32.965444109493184,1.5612779856001748,0.9670110005991531,24.728698244295217,3.362540496522866,
4/7/2022,33,26,29.5,185,0.3987971126914351,,,,19.37821923262947,19.378562337141148,0.0003431045116788632,25.166964074209282,11.927589696732666,12.235,32.98913185084082,1.5613178402620271,0.9670305542016264,24.746467366589734,3.362540496522866,
